"Title","ChordProgression","Key","RomanNumeralProgression"
"Born To Be Blue","C7,Db7#11|C7,Gb7#11|F7,Eb7|Abmaj7,G7#5|Cm7,Db7#11|Cm7,F7|Fm7,,Ab7,G7|C6,Db7#11",NA,""
"Bossa Antigua","Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Cm7|F7",NA,""
"Boulevard Of Broken Dreams, The","Dm,Em7b5|Dm/F,Dm|Em7b5|A7|Em7b5|A7|Dm,Gm|Dm,A7",NA,""
"Bouncin' With Bud","Bb6,Cm7|Dm7,Ebm7|Dm7,G7|Cm7,D7|Gm7|C#07|Cm7,F7|Bb6",NA,""
"Bourbon Street Parade","Ab|Ab|Ab|Ab|Ab|Ab|Eb7|Eb7","Ab","I|I|I|I|I|I|V7|V7"
"Bright Mississippi","F7|F7|F7|F7|Bb7|Bb7|Bb7|Bb7",NA,""
"Bright Size Life","Gmaj7|Gmaj7|Bbmaj7#11/A|Bbmaj7#11/A|D|D/C|Bbmaj7|Bbmaj7",NA,""
"Brilliant Corners","Bb,D7,Db7,|Gb7,F7#11|Bb,Ab7|Gb7,F7#11|Bb,D7,Db7,|Gb7,F7#11|Bb|Bb",NA,""
"Broadway","Bbmaj7|Bbmaj7|Eb7|Eb7|Cm7|F7|Bb6|Bb6","Bb","Imaj7|Imaj7|IV7|IV7|IIm7|V7|I6|I6"
"Brother Can You Spare A Dime","Cm,Cm/Eb|G7/D,C7/E|F7,Bb7|Ebmaj7,A7#11|Ab6,G7|Cm,Bbm7,Eb7,|Ab7,G7|Cm","C-","Im,Im/#II/♭III|V7/II,I7/III|IV7,#VI/♭VII7|#II/♭IIImaj7,VI7#11|#V/♭VI6,V7|Im,#VI/♭VIIm7,#II/♭III7,NANA|#V/♭VI7,V7|Im"
"Brotherhood Of Man","Eb7|Eb7|Eb7|Eb7|Eb7|Gm7,C7|F7|Bb7",NA,""
